repo_name,checklist_percentage,reference_percentage,image_percentage,code_percentage,mean_response_time,label_percentage,median_response_time
freeCodeCamp/freeCodeCamp,1.263537906137184,82.97232250300843,16.726835138387486,57.701564380264735,77.66847172081829,25.09025270758123,71.0
EbookFoundation/free-programming-books,1.25,43.75,7.5,1.25,135.625,40.0,96.0
sindresorhus/awesome,0.0,60.60606060606061,3.0303030303030303,3.0303030303030303,193.03030303030303,12.121212121212121,182.0
donnemartin/system-design-primer,0.0,20.0,2.857142857142857,5.714285714285714,88.48571428571428,5.714285714285714,43.0
facebook/react,0.0,33.33333333333333,4.166666666666666,0.0,162.25,4.166666666666666,153.5
awesome-selfhosted/awesome-selfhosted,0.0,56.41025641025641,0.0,0.0,331.97435897435895,0.0,204.0
ohmyzsh/ohmyzsh,13.06532663316583,54.773869346733676,12.060301507537687,1.507537688442211,677.6683417085427,45.22613065326633,378.0
twbs/bootstrap,0.0,52.63157894736842,5.263157894736842,5.263157894736842,328.1578947368421,78.94736842105263,135.0
Significant-Gravitas/AutoGPT,1.3018714401952807,62.40846216436127,10.170870626525632,39.62571196094385,161.29943043124493,44.75183075671277,155.0
flutter/flutter,0.0,52.05047318611987,10.304942166140904,21.240799158780234,0.7991587802313355,0.2103049421661409,1.0
